PFTDPW,POMCPOW,times
-11.156686695925924,-21.289906037419424,0.01
-20.8825126515,-27.906821900940432,0.01
-15.262482234983334,-13.298890160473249,0.01
-6.1777935849833305,-14.616138295620372,0.01
-7.272847860973246,-10.619094489729148,0.01
-4.841915802656322,-30.764577952413976,0.01
-28.218001990643078,-22.885263364264883,0.01
-16.715982228182757,-18.59237401790824,0.01
-12.678773941350006,-20.631483394308066,0.01
-12.504052980450004,-15.75084919120562,0.01
-15.658521982030633,-15.588888126288978,0.01
-28.022942464363247,-15.74445305510304,0.01
-14.438509251973251,-15.89896777091092,0.01
-11.163691519363246,-11.514911603900837,0.01
-25.1194458249765,-22.10676145539917,0.01
-5.079455660473246,-25.927892281116005,0.01
-29.528851050000007,-19.243568469962796,0.01
-19.590449378330927,-24.453018581348235,0.01
-15.484946605449991,-18.28464218208455,0.01
-3.812798742493502,-16.148767867408246,0.01
-20.23859560792923,-19.509767465098054,0.01
-12.430392846573156,-25.964243407489825,0.01
-11.957884589949987,-17.8158563209824,0.01
-30.815881981419743,-7.241037480450002,0.01
-9.841500000000002,-17.930856347876922,0.01
-8.340842200500003,-10.841945116567878,0.01
-17.466889394614505,-32.76893398404043,0.01
-21.515051611745335,-31.867108456464393,0.01
-17.015953500000002,-27.557400734632534,0.01
-29.88091489558424,-12.165766534952729,0.01
-10.783366981419737,-6.570098126509491,0.01
-10.363678711374726,-15.0478143538365,0.01
-0.8338590849833288,-34.591269834276375,0.01
-26.81826182315349,-25.03352065462108,0.01
-15.664593781556485,-22.44775075045431,0.01
-23.811716757309078,-48.20291606646218,0.01
-10.182376104224256,-31.465996698353067,0.01
-8.993969441756233,-56.90611776516099,0.01
-10.725759152203041,-13.499774106788475,0.01
-42.289007531863064,-23.534899413402755,0.01
-17.938773091370827,-20.878891930709255,0.01
-22.222290838687414,-35.67403622827777,0.01
-23.64556307487592,-11.523080235399988,0.01
-13.211987855098055,-14.913554342264254,0.01
-25.0373816015,-17.121888578278234,0.01
-17.145862776830924,-11.572006152731381,0.01
-11.32292962388091,-26.387431508845157,0.01
-5.987102445000001,-11.40620557945499,0.01
-28.16597333049276,-12.455201285483332,0.01
-31.983318537569996,-11.570615935849169,0.01
-18.458361817369425,-18.966534163839984,0.01
-15.20992312985092,-15.932698035649501,0.01
-26.270581276350008,-13.921097470179154,0.01
-8.179772405489226,-13.260351481419736,0.01
-28.647843250500006,-20.94972688466025,0.01
-17.530973176484995,-31.103674122748053,0.01
-3.0143251146645014,-21.748834978262558,0.01
-18.953055945000003,-21.970962819361574,0.01
-5.214052980450001,-26.786943095078975,0.01
-7.917912055244838,-17.615293347069503,0.01
-2.3195261569349968,-29.695539614098056,0.01
-6.810503459762759,-8.669982390344892,0.01
-23.562019777009496,-35.39918872205926,0.01
-11.381463594425924,-25.92931279923305,0.01
-8.349379505653053,-9.824365376984998,0.01
-13.46125584644805,-24.629741896255926,0.01
-9.621735046362833,-23.17414839574905,0.01
-15.15356173796675,-6.052255377647217,0.01
